timestamp,task_id,task_name,task_size,cycles_per_bit,deadline,src_node,dst_node,trust_score,execution_success,execution_time,energy_consumed,deadline_met,is_dst_malicious
81.97,840,t840,220,150.0,82,5,10,0.6711269256688102,True,31.43559733364261,2.2475307153666586,True,False
82.03,841,t841,300,1000.0,73,1,4,0.6764469861001301,False,330.19076102654907,2.7813508971136907,False,False
82.08,842,t842,170,100.0,47,8,1,0.6708197884816405,True,18.438489716745803,1.5321186687442148,True,False
82.21,843,t843,220,700.0,90,8,1,0.6727058542504691,False,158.82469410437068,2.345860710337709,False,False
82.46,844,t844,270,200.0,55,1,4,0.6723262281963093,True,49.05555279668298,2.8649862583858954,True,False
82.52,845,t845,300,250.0,41,1,5,0.6662288324805642,False,84.68304022376057,2.8365861842945974,False,False
82.61,847,t847,220,900.0,37,2,4,0.7561659825251438,False,202.86374060344585,1.9903652750220637,False,False
82.64,848,t848,120,75.0,71,2,4,0.7504508446928227,True,8.278357532620188,1.2405643710751386,True,False
82.74,849,t849,120,75.0,32,7,1,0.690372470664318,True,10.005709499082318,1.2965999204567016,True,False
82.79,850,t850,220,150.0,88,9,4,0.7539140847683324,True,26.541426686583726,2.404739046708087,True,False
82.95,852,t852,270,900.0,21,1,2,0.6941464790242441,False,225.59546239825949,2.953504905919898,False,False
83.27,855,t855,170,500.0,81,8,2,0.6670487515206182,False,91.66960823124874,1.736855047460801,False,False
83.42,856,t856,220,150.0,21,3,10,0.6892636378205108,False,33.17683107437017,2.125429139972107,False,False
83.47,857,t857,170,100.0,75,6,1,0.6458959758695872,True,15.31500055795588,1.549067898819789,True,False
83.56,858,t858,80,50.0,83,4,6,0.6944459038370339,True,3.2259175545745604,0.8604028771861201,True,False
83.62,859,t859,270,200.0,51,8,1,0.6683801987039215,False,51.24966372606357,2.6071160625706082,False,False
83.8,861,t861,270,200.0,42,8,2,0.6629644431568725,False,49.047724030850006,2.728677974676819,False,False
83.83,862,t862,300,250.0,26,4,10,0.673836686882589,False,63.8906922565293,2.705216305052141,False,False
84.21,864,t864,270,200.0,96,6,4,0.6856744585982988,True,56.06419659375707,2.456948434196565,True,False
84.68,865,t865,170,100.0,57,7,10,0.6892773716771575,True,15.153196071022487,1.7144033409601878,True,False
84.73,866,t866,300,250.0,97,0,10,0.6786390768098216,True,78.17046821150939,3.2413679148292234,True,False
84.78,867,t867,270,200.0,39,7,5,0.716573854689808,False,62.86402671820661,2.501846702743769,False,False
84.85,868,t868,220,700.0,77,0,10,0.6802588667021966,False,135.69542008192042,2.3784857723398494,False,False
84.93,869,t869,270,900.0,67,1,6,0.665121568539668,False,239.12482500991217,2.8990140397640256,False,False
84.98,870,t870,220,900.0,37,5,4,0.7618644094417021,False,205.19612984813895,2.4141383896255046,False,False
85.0,871,t871,120,75.0,49,6,7,0.6524721787729743,False,19.62068015121768,2.7609706892614203,False,True
85.14,872,t872,170,500.0,55,6,1,0.6484087230188621,False,78.08615711066199,1.819779021983577,False,False
85.17,873,t873,300,250.0,77,7,1,0.6919956879176983,True,72.43371022391486,3.0049446645837934,True,False
85.27,874,t874,270,200.0,24,8,10,0.6954995863114,False,64.55028330808712,2.627303264360455,False,False
85.29,875,t875,270,200.0,85,0,10,0.6756722607967242,True,54.427190209704875,2.9488330136061927,True,False
85.34,877,t877,220,150.0,85,5,10,0.6731350538221007,True,27.835444928918626,2.1889971744151704,True,False
85.36,879,t879,220,150.0,24,6,1,0.6446972152251517,False,26.719554120470026,2.339474015077215,False,False
85.4,880,t880,300,1000.0,91,6,1,0.6410599375873153,False,284.5649906409271,3.245334269438521,False,False
85.42,881,t881,270,900.0,66,8,1,0.6641410562683046,False,281.74625848406026,2.673235771717273,False,False
85.43,882,t882,120,75.0,22,4,2,0.6948295329742878,True,7.769390533117525,1.1044476613180796,True,False
85.52,883,t883,300,250.0,48,2,4,0.7510240096171482,False,69.49497099470842,2.8341099306924225,False,False
85.57,884,t884,170,100.0,50,3,1,0.6783978150465507,True,16.69194562489757,1.7149539519340726,True,False
85.61,885,t885,170,100.0,66,8,1,0.6599866966813999,True,15.844112056036543,1.6089800909484253,True,False
85.66,886,t886,270,900.0,46,7,5,0.7116505594141938,False,260.2364839210301,2.8071197888559603,False,False
85.69,887,t887,80,50.0,90,5,2,0.6730425497072025,True,3.407396505948173,0.7204773021593199,True,False
85.86,888,t888,120,75.0,97,8,1,0.6620894242862334,True,7.213953782272776,1.1826680453696414,True,False
85.99,889,t889,80,50.0,83,9,4,0.7542664697396325,True,3.200156221412019,0.8400276940719487,True,False
86.16,890,t890,170,100.0,65,3,10,0.6846068266025622,True,16.72714149419306,1.5324794424314705,True,False
86.35,893,t893,170,500.0,98,7,1,0.693586440826011,True,81.16549972961587,1.8487311165342093,True,False
86.49,895,t895,300,250.0,67,9,1,0.6572351601504907,False,89.5102162859102,2.8387632742458284,False,False
86.49,896,t896,300,250.0,21,9,10,0.6658161120078462,False,83.7191774912838,2.7324471479750816,False,False
86.51,897,t897,300,1000.0,74,0,10,0.677351387009361,False,321.1188667785348,3.155377652569233,False,False
86.55,898,t898,300,1000.0,45,2,4,0.7454117112429871,False,279.85363381970313,2.884977016777239,False,False
86.72,900,t900,220,150.0,93,4,2,0.6965151241329838,True,35.227141803839274,1.99465225381279,True,False
86.79,901,t901,80,50.0,97,9,4,0.7546118070115065,True,4.612347261492413,0.7949031175781318,True,False
86.87,902,t902,220,150.0,89,7,1,0.6951453786761574,True,32.22704242878324,2.3604002886425524,True,False
86.91,903,t903,170,100.0,93,0,5,0.6748487545771191,True,15.113769647774973,1.8190842081498804,True,False
87.1,904,t904,270,1000.0,69,0,2,0.6991296640340945,False,322.8393646528025,2.8352870453412127,False,False
87.11,905,t905,220,900.0,35,6,3,0.6456901395002355,False,743.4891742690739,4.481907233719605,False,True
87.25,906,t906,220,150.0,72,7,10,0.6910740060617961,True,36.487471299275136,2.301085647688379,True,False
87.29,907,t907,300,1000.0,41,9,4,0.754950237537943,False,251.89607174910856,2.740064514026077,False,False
87.31,908,t908,220,150.0,92,2,4,0.7399116588363092,True,37.59742848012527,1.9814073748234384,True,False
87.31,909,t909,170,100.0,42,7,10,0.692834707758742,True,19.060734118541244,1.846519081496994,True,False
87.48,910,t910,220,150.0,49,3,2,0.7044321042226983,True,33.25713280948505,2.3484252170699076,True,False
87.49,911,t911,120,75.0,25,1,4,0.674461885450565,True,8.221354208471922,1.2904972718801662,True,False
87.51,912,t912,80,50.0,89,7,5,0.7068257300440918,True,3.740401044561257,0.8714464984696255,True,False
87.52,913,t913,270,200.0,44,1,5,0.6621609224976196,False,63.17064620303054,2.9035117835690776,False,False
87.64,914,t914,300,250.0,40,8,6,0.6624781920636561,False,72.46482650673957,3.1654515582902216,False,False
87.65,915,t915,270,900.0,69,7,1,0.6966731377693008,False,269.779957930041,2.4862930862630717,False,False
87.66,916,t916,170,100.0,66,1,2,0.689671731261941,True,14.951386979145635,1.8307062846661304,True,False
88.0,919,t919,220,700.0,91,3,1,0.6804120405638016,False,142.42607379008672,2.049901974300596,False,False
88.12,921,t921,300,1000.0,39,1,4,0.6765548295597356,False,334.96905458903257,2.7926751024471237,False,False
88.18,923,t923,80,50.0,21,1,6,0.6610758038355412,True,3.551502277339487,0.7618425495429442,True,False
88.26,925,t925,170,100.0,54,0,2,0.6945552525715945,True,19.654578471513705,1.6597503989471134,True,False
88.27,926,t926,170,500.0,77,0,5,0.6767824461522435,True,75.44779294159292,1.828602525894019,True,False
88.34,927,t927,300,250.0,49,1,4,0.6724319147867226,False,76.2881780142635,3.072423418800937,False,False
88.53,929,t929,270,200.0,86,8,1,0.6641500973389705,True,53.32194633174558,2.475585836026949,True,False
88.57,930,t930,300,1000.0,42,2,10,0.6681995880010556,False,325.15673533480856,2.7195647508764687,False,False
88.65,931,t931,270,900.0,48,8,2,0.6589618209604017,False,213.04641517031266,2.87813242847677,False,False
88.94,932,t932,80,50.0,61,4,6,0.696139167578475,True,3.2671955280275884,0.7208945973425419,True,False
88.96,934,t934,220,150.0,37,3,2,0.7059256439564262,True,35.08041389954129,2.1560682507198137,True,False
88.97,935,t935,270,900.0,76,9,4,0.7491078994538508,False,268.66342810912124,2.551152771425575,False,False
89.12,937,t937,170,500.0,73,9,4,0.7433824081314405,False,100.98528053533035,1.544134538805632,False,False
89.35,938,t938,120,75.0,24,10,4,0.7095955223730824,True,8.763680237890101,1.1961410497965412,True,False
89.35,939,t939,300,1000.0,78,0,5,0.6786774638958651,False,306.3973660336843,2.774680765200493,False,False
89.52,940,t940,270,200.0,84,9,8,0.6569748944942541,True,47.79388699858104,2.6284247369814713,True,False
89.6,941,t941,270,200.0,94,1,4,0.66839145830917,True,47.980449002853966,2.6454133295132274,True,False
89.7,942,t942,270,200.0,55,0,2,0.6962463293383443,False,60.06516755581608,2.5552739586631064,False,False
89.91,944,t944,170,500.0,88,6,1,0.6374954055022356,True,87.14354717948797,1.601346686893624,True,False
89.96,945,t945,300,250.0,28,3,10,0.6862171516089726,False,79.58491957664211,2.830868380113132,False,False
90.07,946,t946,170,100.0,56,1,6,0.6632849544254972,True,18.094651804024572,1.6813149390227822,True,False
90.2,947,t947,120,75.0,63,9,4,0.7377714266354785,True,7.312094603556606,1.316225207540477,True,False
90.28,948,t948,170,100.0,38,10,5,0.6847040956436411,True,16.216355726408473,1.5654139467291877,True,False
90.33,949,t949,80,50.0,27,1,6,0.6654499220036538,True,3.8352950440503926,0.8155586336706672,True,False
90.58,952,t952,80,50.0,26,2,6,0.6893995977591737,True,4.615142878576332,0.7267918189043733,True,False
91.21,957,t957,170,100.0,92,9,8,0.6594175784225508,True,18.469664474877852,1.7466891261665656,True,False
91.25,958,t958,80,50.0,28,1,4,0.6706058109611683,True,4.064546411245005,0.8361933498203289,True,False
91.28,960,t960,300,250.0,37,9,4,0.7384466647694355,False,80.90954361269667,3.0059746753162315,False,False
91.48,961,t961,300,250.0,58,1,4,0.6727758765601268,False,74.87107935381593,3.2533836032505317,False,False
91.59,963,t963,300,250.0,46,8,10,0.6909977764033538,False,67.15853551596264,3.0180185582293473,False,False
91.59,962,t962,120,75.0,88,7,5,0.7082713972613918,True,8.182429727211122,1.2115372977471621,True,False
91.71,964,t964,220,150.0,49,7,10,0.694560195421749,True,27.24628875134216,2.2881311410570575,True,False
91.75,965,t965,300,250.0,67,3,10,0.6816212701152546,True,62.62994284919847,3.297436154514163,True,False
91.9,967,t967,80,50.0,53,4,6,0.6977985660450873,True,3.433239972045933,0.8264190667005735,True,False
92.07,969,t969,270,200.0,71,5,2,0.6751638805312402,True,56.49700720864246,2.5885605898954642,True,False
92.13,970,t970,120,75.0,30,10,4,0.7108342785922874,True,8.554606677394952,1.3154371926821058,True,False
92.14,971,t971,220,150.0,52,1,6,0.6675715902302474,True,35.31883204149512,2.09851638858794,True,False
92.24,972,t972,300,250.0,49,1,6,0.6696508250923091,False,81.37626567490146,2.9816758329321518,False,False
92.31,973,t973,300,1000.0,33,3,1,0.6762119815707074,False,325.1141283527895,2.886895231856479,False,False
92.38,975,t975,170,100.0,79,2,6,0.6910422724706569,True,14.956389746914176,1.7028671932338075,True,False
92.56,976,t976,270,200.0,61,9,8,0.6618114086722816,True,56.97611777055569,2.624109372292369,True,False
92.57,977,t977,170,100.0,21,8,1,0.6661695569306525,True,16.21679517906542,1.7424082926702895,True,False
92.62,978,t978,220,150.0,49,10,5,0.686440680397435,True,34.162974007484415,2.1505171394331173,True,False
92.63,979,t979,270,200.0,28,3,10,0.683291306251411,False,52.91827845237198,2.893816335980239,False,False
92.86,981,t981,170,100.0,78,6,7,0.6373649170156965,False,46.04236410731563,2.6248717288907426,False,True
92.88,983,t983,300,1200.0,58,3,2,0.7073893128954795,False,422.87702972542684,2.815421919743553,False,False
92.88,982,t982,120,75.0,27,4,2,0.698167003468506,True,8.085899132847707,1.129526082132353,True,False
93.09,985,t985,220,150.0,58,2,4,0.7406956074777648,True,32.081195999397195,2.3116216407159307,True,False
93.16,987,t987,220,150.0,20,5,10,0.6751030194123252,False,33.5308072940058,2.077192550382853,False,False
93.24,989,t989,300,250.0,59,10,5,0.688142533456153,False,71.66341037988468,2.8439692852429816,False,False
93.58,990,t990,220,700.0,62,6,1,0.6401761640588576,False,172.6114568397752,2.1370780740831563,False,False
93.61,991,t991,300,1200.0,40,1,6,0.6655144752571297,False,423.7450402310036,3.187933927742923,False,False
93.87,992,t992,220,900.0,68,4,6,0.6994247765423673,False,160.10684515314344,2.239516189069116,False,False
