topology,malicious_ratio,model,trust_mse,trust_mse_std,trust_rmse,trust_rmse_std,trust_mae,trust_mae_std,detection_accuracy,detection_accuracy_std,detection_precision,detection_precision_std,detection_recall,detection_recall_std,detection_f1,detection_f1_std,detection_auc,detection_auc_std
Pakistan_Tuple100K,20%,Transformer,0.005215284564910135,0.0020133359780419888,0.07095921156459954,0.013419197406720625,0.05681325537521067,0.009232885675616654,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Topo4MEC_25N50E,10%,GAT,0.02260306397460008,0.0025505774659718384,0.15010695433153884,0.008424146004752824,0.10376326666499543,0.00844318256227293,0.9200000000000002,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.4397306023858819,0.08334239560478399
Topo4MEC_25N50E,10%,GraphSAGE,0.019545496141754545,0.005449377131370127,0.1382123169753349,0.021044039014982394,0.09521122051592938,0.024550825164188116,0.9337142857142858,0.0274285714285714,0.2,0.4000000000000001,0.17142857142857143,0.34285714285714286,0.18461538461538463,0.36923076923076925,0.3242963127279898,0.11673796187385567
Topo4MEC_25N50E,10%,GCN,0.05084510086135037,0.021580186619981574,0.2176003050357639,0.05912028509482047,0.1706026921942218,0.055050106390899044,0.9337142857142858,0.0274285714285714,0.2,0.4000000000000001,0.17142857142857143,0.34285714285714286,0.18461538461538463,0.36923076923076925,0.5296103223898255,0.1997793020194095
Topo4MEC_25N50E,10%,Transformer,0.020980009428161743,0.002549816787131055,0.14458828244845684,0.008616148023741074,0.10066611356219513,0.01223464206097904,0.9200000000000002,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.3528591146603569,0.11584000669576623
Topo4MEC_25N50E,15%,GAT,0.03070777085443361,0.0022266500936862143,0.17512327140032974,0.006293700698322835,0.12379243482643729,0.0130687959642471,0.8800000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.44278499278499284,0.16652455238045807
Topo4MEC_25N50E,15%,GraphSAGE,0.034558212135118,0.008559064203552992,0.18465513607306785,0.02146375682295168,0.1333719891752538,0.028433402143440818,0.8788571428571428,0.0022857142857142685,0.06666666666666667,0.13333333333333333,0.009523809523809523,0.019047619047619046,0.016666666666666666,0.03333333333333333,0.3301114890400604,0.1363907153368711
Topo4MEC_25N50E,15%,GCN,0.06667537827960948,0.025778900950638572,0.2505030105759415,0.06263880563994813,0.1936549577731455,0.058416646629550546,0.8948571428571428,0.029714285714285717,0.2,0.4000000000000001,0.12380952380952381,0.2476190476190476,0.15294117647058822,0.30588235294117644,0.4507730364873222,0.15934838257685865
Topo4MEC_25N50E,15%,Transformer,0.030580271824111903,0.0015854948803512646,0.17481312321688333,0.004543542150202549,0.11885245959229132,0.007001964325263023,0.8800000000000001,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.2897177557891843,0.21529222958785132
Topo4MEC_25N50E,20%,GAT,0.04794595394039308,0.0055180256922734644,0.21862872878038972,0.012142194705401049,0.17399374922285998,0.011280036679215578,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974104308390022,0.12642126668317125
Topo4MEC_25N50E,20%,GraphSAGE,0.056952490410852666,0.00857850263708979,0.2380269845827489,0.017194331080226805,0.2206600694199826,0.017119569425746342,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4269478458049886,0.06695520901903698
Topo4MEC_25N50E,20%,GCN,0.041985760756746815,0.011243011848858299,0.20249643447341997,0.0313201976733666,0.1497664025429311,0.039221000274932596,0.8342857142857142,0.06857142857142856,0.2,0.4000000000000001,0.17142857142857143,0.34285714285714286,0.18461538461538463,0.36923076923076925,0.496530612244898,0.18252867729250777
Topo4MEC_25N50E,20%,Transformer,0.053748811933945796,0.002560571923777591,0.23177173544514212,0.005538463929000513,0.21096737678460423,0.01335523936896776,0.7977142857142857,0.004571428571428581,0.0,0.0,0.0,0.0,0.0,0.0,0.36415589569161,0.11549631973343102
Topo4MEC_50N50E,10%,GAT,0.02634022280009681,0.005638060856812592,0.1612124552984939,0.01872877616738275,0.1110107409680817,0.012770825660877708,0.9046666666666667,0.009333333333333327,0.2,0.4000000000000001,0.04666666666666667,0.09333333333333334,0.07567567567567568,0.15135135135135136,0.44020987654321,0.1989336785057643
Topo4MEC_50N50E,10%,GraphSAGE,0.025794317529816913,0.006653099359451202,0.15892929443366133,0.02314728711178703,0.10820184169150537,0.022965320172325308,0.9166666666666666,0.033333333333333305,0.2,0.4000000000000001,0.16666666666666669,0.33333333333333337,0.18181818181818182,0.36363636363636365,0.2147530864197531,0.18150774564297542
Topo4MEC_50N50E,10%,GCN,0.025831480923802934,0.006547333891613388,0.15913714252638048,0.02251334698221046,0.11028349022831882,0.022732173996899363,0.9166666666666666,0.033333333333333305,0.2,0.4000000000000001,0.16666666666666669,0.33333333333333337,0.18181818181818182,0.36363636363636365,0.44981481481481483,0.16660390221936677
